bundle,tensor,scope,num_rows,feature_dim,statistical_leakage_label,l1_corr,l2_corr,linf_corr,l2_max_abs_diff,l2_mean_abs_diff,max_corr,min_corr,max_abs_diff,min_abs_diff,sorted_mse_mean,sorted_mse_max,sorted_l2_rel_mean,quantile_mse_mean,quantile_p10_abs_err_mean,quantile_p25_abs_err_mean,quantile_p50_abs_err_mean,quantile_p75_abs_err_mean,quantile_p90_abs_err_mean
fresh_perm_only,gate,prefill,128,64,statistical_leakage_detected_high,0.9999999,1.00000006,1.0,4.8e-07,1e-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,gate,decode,32,64,statistical_leakage_detected_high,1.0,1.0,1.0,4.8e-07,4e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,up,prefill,128,64,statistical_leakage_detected_high,1.00000014,1.0,1.0,4.8e-07,7e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,up,decode,32,64,statistical_leakage_detected_high,1.0,1.0,1.0,4.8e-07,9e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,swiglu_intermediate,prefill,128,64,statistical_leakage_detected_high,0.99999992,1.0,1.0,1.19e-06,3e-07,1.0,0.99999989,7.7e-07,9.5e-07,0.0,0.0,7.2e-07,0.0,6e-08,5e-08,2e-08,4e-08,7e-08
fresh_perm_only,swiglu_intermediate,decode,32,64,statistical_leakage_detected_high,1.0,1.0,1.0,7.2e-07,2.6e-07,1.0,1.0,6e-07,6e-07,0.0,0.0,6.8e-07,0.0,5e-08,5e-08,2e-08,4e-08,7e-08
fresh_perm_only,post_island,prefill,128,32,statistical_leakage_borderline,0.96955701,1.00000011,0.74357179,1.2e-07,3e-08,0.65166603,0.65139548,0.20945489,0.20858517,0.00213317,0.01150422,0.32093108,0.00167916,0.03458058,0.03181769,0.03186597,0.03294131,0.03158176
fresh_perm_only,post_island,decode,32,32,statistical_leakage_borderline,0.96379461,0.99999993,0.74786274,1.2e-07,3e-08,0.67522012,0.88598832,0.26577374,0.20447949,0.00199752,0.00751164,0.30918074,0.00158809,0.03316485,0.03699005,0.03318086,0.02499274,0.0263497
fresh_perm_only,q,prefill,512,8,statistical_leakage_low,0.90872872,1.0,0.72010886,4.8e-07,8e-08,0.36642026,0.39670571,1.05141592,1.32636976,0.11439402,0.68020147,0.55896509,0.09213679,0.23004702,0.25127158,0.24641988,0.23500863,0.22479348
fresh_perm_only,q,decode,128,8,statistical_leakage_low,0.88123311,1.0,0.7270348,3.6e-07,8e-08,0.38625628,0.28124096,1.7596252,1.39074302,0.13068706,1.14631987,0.59728336,0.11274756,0.23704755,0.25651696,0.25240192,0.26812911,0.27364185
fresh_perm_only,k,prefill,256,8,statistical_leakage_low,0.92114547,0.9999999,0.77765643,4.8e-07,8e-08,0.33635992,0.48710057,1.1262666,1.10018611,0.13246053,1.14833903,0.60970414,0.11347306,0.23679429,0.25149456,0.26789781,0.26740196,0.25893518
fresh_perm_only,k,decode,64,8,statistical_leakage_low,0.89459762,1.0,0.72837226,3.6e-07,8e-08,0.07813714,0.61808396,1.30363679,0.77011347,0.12616765,0.84086567,0.55858046,0.10241789,0.17153695,0.24649167,0.25166368,0.23284422,0.25565055
fresh_perm_only,v,prefill,256,8,statistical_leakage_low,0.91105057,0.99999991,0.75048807,4.8e-07,9e-08,0.27290402,0.29851338,1.53721774,1.43337226,0.1543802,1.51804066,0.59393424,0.12844291,0.27476057,0.28119138,0.29503614,0.27367321,0.28230092
fresh_perm_only,v,decode,64,8,statistical_leakage_low,0.94766066,1.0,0.83841937,3.6e-07,6e-08,0.3807055,0.18990712,0.98207808,1.30675888,0.16269389,1.0571506,0.57759607,0.13603656,0.24072972,0.23531355,0.29109067,0.29977185,0.23777787
fresh_perm_only,boundary_input,prefill,128,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,boundary_input,decode,32,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,final,prefill,128,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_only,final,decode,32,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,gate,prefill,128,64,statistical_leakage_detected_high,0.9999999,1.00000006,1.0,4.8e-07,1e-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,gate,decode,32,64,statistical_leakage_detected_high,1.0,1.0,1.0,4.8e-07,4e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,up,prefill,128,64,statistical_leakage_detected_high,1.00000014,1.0,1.0,4.8e-07,7e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,up,decode,32,64,statistical_leakage_detected_high,1.0,1.0,1.0,4.8e-07,9e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,swiglu_intermediate,prefill,128,64,statistical_leakage_detected_high,0.99999992,1.0,1.0,1.19e-06,3e-07,1.0,0.99999989,7.7e-07,9.5e-07,0.0,0.0,7.2e-07,0.0,6e-08,5e-08,2e-08,4e-08,7e-08
fresh_perm_plus_sandwich_plus_pad,swiglu_intermediate,decode,32,64,statistical_leakage_detected_high,1.0,1.0,1.0,7.2e-07,2.6e-07,1.0,1.0,6e-07,6e-07,0.0,0.0,6.8e-07,0.0,5e-08,5e-08,2e-08,4e-08,7e-08
fresh_perm_plus_sandwich_plus_pad,post_island,prefill,128,32,statistical_leakage_borderline,0.96955701,1.00000011,0.74357179,1.2e-07,3e-08,0.65166603,0.65139548,0.20945489,0.20858517,0.00213317,0.01150422,0.32093108,0.00167916,0.03458058,0.03181769,0.03186597,0.03294131,0.03158176
fresh_perm_plus_sandwich_plus_pad,post_island,decode,32,32,statistical_leakage_borderline,0.96379461,0.99999993,0.74786274,1.2e-07,3e-08,0.67522012,0.88598832,0.26577374,0.20447949,0.00199752,0.00751164,0.30918074,0.00158809,0.03316485,0.03699005,0.03318086,0.02499274,0.0263497
fresh_perm_plus_sandwich_plus_pad,q,prefill,512,8,statistical_leakage_low,0.90872872,1.0,0.72010886,4.8e-07,8e-08,0.36642026,0.39670571,1.05141592,1.32636976,0.11439402,0.68020147,0.55896509,0.09213679,0.23004702,0.25127158,0.24641988,0.23500863,0.22479348
fresh_perm_plus_sandwich_plus_pad,q,decode,128,8,statistical_leakage_low,0.88123311,1.0,0.7270348,3.6e-07,8e-08,0.38625628,0.28124096,1.7596252,1.39074302,0.13068706,1.14631987,0.59728336,0.11274756,0.23704755,0.25651696,0.25240192,0.26812911,0.27364185
fresh_perm_plus_sandwich_plus_pad,k,prefill,256,8,statistical_leakage_low,0.92114547,0.9999999,0.77765643,4.8e-07,8e-08,0.33635992,0.48710057,1.1262666,1.10018611,0.13246053,1.14833903,0.60970414,0.11347306,0.23679429,0.25149456,0.26789781,0.26740196,0.25893518
fresh_perm_plus_sandwich_plus_pad,k,decode,64,8,statistical_leakage_low,0.89459762,1.0,0.72837226,3.6e-07,8e-08,0.07813714,0.61808396,1.30363679,0.77011347,0.12616765,0.84086567,0.55858046,0.10241789,0.17153695,0.24649167,0.25166368,0.23284422,0.25565055
fresh_perm_plus_sandwich_plus_pad,v,prefill,256,8,statistical_leakage_low,0.91105057,0.99999991,0.75048807,4.8e-07,9e-08,0.27290402,0.29851338,1.53721774,1.43337226,0.1543802,1.51804066,0.59393424,0.12844291,0.27476057,0.28119138,0.29503614,0.27367321,0.28230092
fresh_perm_plus_sandwich_plus_pad,v,decode,64,8,statistical_leakage_low,0.94766066,1.0,0.83841937,3.6e-07,6e-08,0.3807055,0.18990712,0.98207808,1.30675888,0.16269389,1.0571506,0.57759607,0.13603656,0.24072972,0.23531355,0.29109067,0.29977185,0.23777787
fresh_perm_plus_sandwich_plus_pad,boundary_input,prefill,128,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,boundary_input,decode,32,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,final,prefill,128,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_perm_plus_sandwich_plus_pad,final,decode,32,32,statistical_leakage_detected_high,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
